evento,janela_ini,janela_fim,estacao_chuva,n_dias_chuva,chuva_total_mm,chuva_max_diaria_mm,chuva_max_data,uvaia_pico_cm,uvaia_pico_data,lajeado_pico_cm,lajeado_pico_data,lag_dias
out-nov/2022,2022-10-20,2022-11-10,sma:2730,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2733,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2745,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2904,22,173.4,61.4,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:819,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
jun/2022,2022-06-01,2022-06-30,1101,29,130.3,36.22,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,1105,30,172.4,69.6,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,2056,30,174.4,42.8,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,2241,30,172.0,70.0,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,IAT_2450054,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,83811,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,83813,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sih:2450021,30,143.0,45.2,2022-06-07,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sih:2549052,30,125.8,38.3,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sih:2550043,30,148.5,49.8,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:1105,30,172.4,69.6,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:1112,30,125.8,63.2,2022-06-09,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:1124,30,151.8,48.2,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:1133,30,129.8,45.6,2022-06-09,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:1224,28,101.2,26.8,2022-06-07,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2305,30,130.6,61.8,2022-06-09,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2320,30,254.4,94.4,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2411,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2529,30,157.6,58.2,2022-06-02,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2730,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2733,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2745,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:2904,30,167.0,56.4,2022-06-09,595,2022-06-11,681,2022-06-07,4
jun/2022,2022-06-01,2022-06-30,sma:819,0,sem-dados,sem-dados,sem-dados,595,2022-06-11,681,2022-06-07,4
jan/2021,2021-01-01,2021-01-31,1101,31,180.2,40.2,2021-01-19,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,1105,31,268.4,46.8,2021-01-20,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,2056,31,198.6,27.0,2021-01-25,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,2241,31,264.4,70.0,2021-01-18,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,IAT_2450054,0,sem-dados,sem-dados,sem-dados,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,83811,22,223.0,42.0,2021-01-19,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,83813,22,166.4,40.6,2021-01-19,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sih:2450021,31,294.8,47.9,2021-01-26,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sih:2549052,31,299.1,72.9,2021-01-18,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sih:2550043,31,346.4,65.8,2021-01-18,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:1105,31,268.4,46.8,2021-01-20,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:1112,31,204.2,36.6,2021-01-17,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:1124,31,218.0,38.6,2021-01-20,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:1133,31,293.4,39.8,2021-01-15,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:1224,31,171.8,30.0,2021-01-17,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2305,31,434.9,79.6,2021-01-25,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2320,31,363.2,79.0,2021-01-19,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2411,0,sem-dados,sem-dados,sem-dados,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2529,31,207.6,45.2,2021-01-18,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2730,0,sem-dados,sem-dados,sem-dados,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2733,0,sem-dados,sem-dados,sem-dados,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2745,0,sem-dados,sem-dados,sem-dados,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:2904,31,323.2,67.8,2021-01-19,673,2021-01-30,730,2021-01-24,6
jan/2021,2021-01-01,2021-01-31,sma:819,31,199.0,35.4,2021-01-18,673,2021-01-30,730,2021-01-24,6
mai-jun/2019,2019-05-15,2019-06-30,1101,47,313.8,77.6,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,1105,47,263.4,72.8,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,2056,47,327.8,80.8,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,2241,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,IAT_2450054,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,83811,33,285.6,59.4,2019-05-29,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,83813,34,163.1,68.8,2019-05-29,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sih:2450021,18,210.7,60.5,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sih:2549052,47,281.3,56.1,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sih:2550043,47,328.7,62.4,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:1105,47,263.4,72.8,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:1112,47,206.6,53.8,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:1124,47,281.2,77.6,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:1133,47,242.8,73.6,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:1224,47,271.9,76.2,2019-05-28,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2305,6,8.6,8.0,2019-06-26,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2320,47,386.7,93.8,2019-05-23,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2411,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2529,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2730,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2733,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2745,0,sem-dados,sem-dados,sem-dados,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:2904,12,15.8,14.0,2019-06-26,921,2019-06-07,772,2019-06-03,4
mai-jun/2019,2019-05-15,2019-06-30,sma:819,47,292.0,74.2,2019-05-28,921,2019-06-07,772,2019-06-03,4
